많이;viel;;I
좋다;gut sein;;I
따뜻하다;warm sein;;I
많다;viel sein;;I
적다;wenig sein;;I
재미있다;lustig, unterhaltsam sein (wörtlich: Spass haben);;I
재미없다;nicht lustig sein (wörtlich: kein Spass haben);;I
날씬하다;schlank sein;;II
뚱뚱하다;dick sein;;II
싸다;billig sein;;I
비싸다;teuer sein;;I
맛있다;lecker, köstlich sein (wörtlich: Geschmack haben);;I
맛없다;nicht lecker sein (wörtlich: keinen Geschmack haben);;I
피곤하다;müde sein;;I
예쁘다 (예뻐요);schön sein;;I
귀엽다 (귀여워요);süß, niedlich sein;;I
멋있다;fesch, cool sein;;I
시원하다;kühl sein;;I
나쁘다 (나빠요);schlecht sein;;I
친절하다;freundlich, nett sein;;I
바쁘다 (바빠요);beschäftigt sein;;I
배고프다 (배고파요);hungrig sein (배 heißt Bauch);;I
맵다 (매워요);scharf sein;;I
복잡하다;überfüllt, kompliziert;;I
어렵다 (어려워요);schwierig;;I
춥다 (추워요);kalt sein (das Wetter);;I
아프다;krank, weh;;I
건강하다;gesund;;I
아름답다;schön, hübsch;;I
덥다;heiß;;I
빠르다;schnell (Adjektiv);;I
작다;klein;;I
크다;groß sein;;I
높다;hoch sein;;I
키가 크다;groß sein (Körpergröße);;I
길다;lang sein;;I
힘들다;anstrengend;;I
착하다;nett sein;;I
조용하다;leise, ruhig, still sein;;I
N이/가 유명하다;berühmt sein;;I
같다;gleich sein;;I
가난하다;arm sein;;II
행복하다;glücklich sein;;I
반갑다;sich freuen;;I
멀다;weit sein (Adjektiv);;I
대단하다;toll, großartig;;II
