안;nicht;;I
지금;jetzt;;I
내일;morgen;;I
요즘;derzeit, zurzeit;;I
오늘;heute;;I
보통;normalerweise;;I
열심히;fleißig (Adverb);;I
아주;sehr;;I
너무;zu;;I
조금;ein bisschen;;I
같이;zusammen, gemeinsam;;I
모두;insgesamt, alle;;I
그냥;einfach so;;I
다시;wieder;;I
자주;oft;;I
가끔;selten;;I
다음에;nächstes Mal;;I
별로;so (meist mit verneinten Verben und Adjektiven);;I
여러 가지;vielfältig;;I
아무것도;nichts (wird nur bei Verneinung verwendet);;II
혼자;allein;;I
이따(가);später, aber nur heute;;II
아직;noch;;I
더;mehr;;I
여러;mehrere;;I
매일;jeden Tag;;I
쯤;ungefähr;;I
곧;gleich, sofort;;I
맛있게;lecker (Adverb);;I
잘;gut (Adverb);;I
빨리;schnell;;I
항상;immer;;I
다;alles;;I
벌써;schon;;I
같이, 함께;zusammen, gemeinsam;;I
가장;meiste, beste, liebste (koreanischer Superlativ);;I
전부;insgesamt, alle;;II
이렇게;so was, wie das;;I
좀;bitte;;I
천천히;langsam (Adverb);;I
또;noch einmal, auch;;I
이제;ab jetzt;;I
원래;ursprünglich, eigentlich, original, natürlich, normalerweise;;II
등, 등등;usw.;;I
우선;erst, zuerst;;I
꼭;unbedingt;;I
재미있게;lustig (Adverb);;I
그중에서;davon, von diesen;;I
제일;meiste, beste, liebste (koreanischer Superlativ);;I
서로;gegenseitig;;I
특히;besonders;;I
전혀, 하나도;überhaupt (wird nur bei Verneinung verwendet);;I
그저께;vorgestern;;I
어제;gestern;;I
늦게;spät;;I
방금;gerade jetzt;;II
아까;vor kurzem, vorher (heute);;I
예전에, 전에;früher, vorher;;I
앞으로;nun, ab jetzt;;II
계속;dauernd, ständig, ununterbrochen;;I
새;neu;;I
갑자기;plötzlich;;I
우연히;zufällig;;II
거의;fast;;I
그때;zu diesem Zeitpunk;;I
처음;zum ersten Mal, zuerst;;I
두 번째;das Zweite, zweit;;II
멀리;weit (Adverb);;II
오래;lange Zeit;;I
오랫동안;für eine lange Zeit;;I
그동안;in dieser Zeit, während dieser Zeit, in der Zwischenzeit;;I
먼저;als Erstes, zuerst;;I
직접;selbst;;I
최소;Minimum;;II
나중에;später, nächstes Mal, in der Zukunft, irgendwann, ein andermal;;I
쭉;geradeaus, gerade, lang, weiter, ständig;;II
똑바로;geradeaus;;I
약;ungefähr, etwa;;I
정도;ungefähr, etwa;;I
따로;separat, getrennt, extra;;I
바로;sofort, gleich, direkt;;I
이미;schon, bereits;;II
한;circa;;I
그렇게;so, auf diese Weise, wie das (Adverb);;I
이후;danach;;I
언젠가;irgendwann einmal;;II
(하루) 종일;den ganzen Tag;;I
대부분;die Meisten;;I
아무나;jeder (oft verneint);;II
누구나;jeder;;II
손쉽게;einfach, leicht, kurzerhand (Adverb);;II
금방;bald, gleich, gerade;;I
참;sehr, wirklich;;I
드디어;endlich;;II
아무튼;auf jeden Fall, jedenfalls;;II
각자;jeder einzelne, einzeln, getrennt;;II
크게;laut, lautstark (Adverb);;I
자연스럽게;natürlich (Adverb);;II
더 이상;nicht mehr;;I
혼자서;alleine;;I
딱;genau richtig;;II
역시;wie erwartet, erwartungsgemäß;;II
매달;jeden Monat, monatlich;;II
언제든지;jederzeit;;II
새로;neu (Adverb);;I
곳/데;unbestimmter Ort;;I
다행히;glüchklicherweise;;II
매주;jede Woche;;I
그대로;genau so, unverändert;;II
그만;nicht mehr, nicht weiter (Adverb);;I
조용히;leise (Adverb);;I
당연히;natürlich (Adverb);;II
아마/아마도;vielleicht;;I
미리;im Voraus;;I
무조건;unbedingt;;II
혹시;Möglicherweise, vielleicht;;II
예쁘게;schön (Adverb);;I
이리;hierher;;II
절대(로);niemals;;I
엄청;sehr;;II
아무거나;irgendetwas;;II
어디에서나;überall;;II
덜;weniger;;II
중에서;von denen, inmitten von;;I
어디든;irgendwo, überall, wo auch immer, egal wo;;II
훨씬;viel, deutlich (wird mit Komparativ verwendet);;II
급하게;dringend, eilig (Adverb);;II
