저;ich;;I
사람;Mensch;;I
저기;dort;;I
우리;wir,unser,unsere;;I
제;mein,meine;;I
여자;Frau;;I
이름;Name;;I
국적;Nationalität;;I
남자;Mann;;I
친구;Freund,Freundin;;I
직업;Beruf;;I
여기;hier;;I
이분;diese Person;;I
어머니;Mutter;;I
오빠;älterer Bruder einer weiblichen Person;;I
뭐;was;;I
어느;welcher,welche,welches;;I
나라;Land;;I
책;Buch;;I
영화;Film;;I
옷;Kleidung;;I
음식;Essen;;I
가방;Tasche;;I
텔레비전;Fernseher;;I
한국 드라마;K-Drama;;I
태권도;Taekwondo;;I
음악;Musik;;I
핸드폰;Handy;;I
시계;Uhr;;I
우산;Regenschirm;;I
볼펜;Kugelschreiber;;I
문;Tür;;I
창문;Fenster;;I
방;Zimmer;;I
사진;Foto;;I
모차르트 하우스;Mozarthaus;;II
거기;dort;;I
날씨;Wetter;;I
팬;Fan;;II
김밥;Reisröllchen;;I
케이크;Torte;;I
영화관;Kino;;I
유럽;Europa;;I
부모님;Eltern;;I
바다;Meer;;I
연필;Bleistift;;I
공책;Notizbuch, Schulheft;;I
카메라;Kamera;;I
유튜브;YouTube;;I
글;Text, Aufsatz;;I
이야기;Rede, Geschichte;;I
다르다 (달라요);verschieden;;I
컴퓨터 게임;Computerspiel;;I
숙제;Hausaufgabe;;I
케이팝;K-Pop;;I
주부;Hausfrau, -mann;;I
스파게티;Spaghetti;;I
피자;Pizza;;I
초콜릿;Schokolade;;I
과일;Obst;;I
과자;Kekse;;I
콜라;Cola;;I
나이;Alter;;I
장갑;Handschuhe;;I
목도리;Schal (Winter);;I
선물;Geschenk;;I
모자;Kopfbedeckung;;I
크리스마스;Weihnachten;;I
갈비;Rippchen;;I
아줌마;ältere, normalerweise verheiratete Frau;;I
번호;Nummer;;I
인분;eine Portion (Menge);;I
쪽;Seite;;I
킬로그램;Kilogramm;;I
그릇;Schüssel;;I
원;koreanische Währung;;I
달러;Dollar;;I
유로;Euro;;I
센트;Cent;;I
여러분;ihr;;I
중국집;chinesisches Restaurant;;I
소스;Sauce;;II
짬뽕;scharfe Nudelsuppe;;I
자장면/짜장면;Nudelgericht;;I
계절;Jahreszeiten;;I
사계절;vier Jahreszeiten;;I
봄;Frühling;;I
여름;Sommer;;I
가을;Herbst;;I
겨울;Winter;;I
단풍;buntes Herbstlaub;;II
시간;Zeit;;I
이어폰;Kopfhörer (in-ear);;II
아이스크림;Eis;;I
기본;die Basis, die Grundlage;;II
뜻;die Bedeutung;;I
가지;die Art, die Sorte;;I
맛;der Geschmack;;I
상추;Salat (für 삼겹살);;I
소갈비, 쇠갈비;Rippchen (Rind);;I
국;Suppe;;I
밥상;koreanischer Esstisch;;II
냅킨;Servietten;;I
숟가락;Löffel;;I
젓가락;Essstäbchen;;I
수저;Besteck (Löffel und Essstäbchen);;I
앞접시;extra leerer kleiner Teller;;I
손;Hand;;I
돈;Geld;;I
카드;Karte;;I
채소, 야채;Gemüse;;I
포토그래퍼;Fotograf;;II
머리;Kopf, Haare;;I
날;Tag;;I
생일;Geburtstag;;I
것(거);Sache;;I
고프로;GoPro;;I
신발;Schuhe;;I
권;Zählwort für Bücher;;I
물건;Sache, Ding, Produkt;;I
세일;Schnäppchen;;II
패션;Fashion, Mode;;I
브랜드;Brand, Marke;;II
서비스;Service;;I
도시, 시;Stadt;;I
공짜;gratis;;I
다른;andere;;I
자치;Autonomie;;II
특별;Besonderheit;;II
병원;Krankenhaus, Arztpraxis;;I
헬스장;Fitnessstudio;;I
바;Bar;;I
클럽;Club;;I
수영장;Schwimmbad;;I
등산;Bergsteigen;;I
휴가;Urlaub;;I
이태리;Italien;;I
부산;Busan;;I
제주도;Jeju Insel;;I
북;Norden;;I
남;Süden;;I
수도;Hauptstadt;;I
광역시;Großstadt;;I
섬;Insel;;I
로마;Rom;;I
베니스;Venedig;;II
밀라노;Milan;;II
극장;Theater, Kino;;I
호수;See;;II
비;Regen;;I
다이어트;Diät;;I
수업;Kurs;;I
한라산;Halla Berg;;II
올레 길;Olle-Wanderweg (Jeju);;I
풍경;Landschaft;;II
국내;Inland;;I
해외;Ausland;;I
국내외;In- und Ausland;;II
남편;Ehemann;;I
아이;Kind;;I
딸;Tochter;;I
아들;Sohn;;I
용돈;Taschengeld;;II
봉투;Kuvert;;I
크리스마스 트리;Weihnachtsbaum;;I
가운데;Mitte;;I
사실;tatsächlich, eigentlich;;II
외국사람;Ausländer;;II
스키장;Skigebiet;;I
파이팅(화이팅);toitoitoi;;I
눈;Schnee;;I
동료;Kollege;;II
이메일;E-Mail;;I
차이;der Unterschied;;I
