안녕하세요;Hallo;;I
안녕히 가세요;Gehen Sie in Frieden;;I
안녕히 계세요;Bleiben Sie in Frieden;;I
고맙습니다;Danke;;I
감사합니다;Danke;;I
죄송합니다;Entschuldigung;;I
저기요;Entschuldigen Sie;;I
잠깐만요;Einen Moment;;I
미안합니다;Entschuldigung;;I
어떡해요;Tut mir leid (zu hören);;I
잠시만요;Einen Moment;;I
아니에요;nicht sein, nichts zu danken;;I
그럼;dann;;I
그럼요?;und dann?;;I
그래요?;achso;;I
아닙니다;nichts zu danken;;I
괜찮아요;es ist in Ordnung;;I
만나서 반가워요;Ich freue mich Sie kennen zu lernen;;I
그리고;und;;I
그래서;also deshalb;;I
맞다;richtig sein;;I
안녕;Hallo, Guten Morgen, Guten Tag, Guten Abend, Tschüss;;I
네, 예;ja;;I
여보세요;Hallo (am Telefon);;I
어서 오세요;Willkommen;;I
오랜만이에요;lange nicht gesehen;;I
짠;Geräusch, um stolz etwas zu zeigen, das verborgen war;;II
빙고;Bingo (richtig);;II
딩동댕;Lautmalerei um etwas Erfreuliches darzustellen;;II
웬일;Was ist los?, Was ist passiert?;;I
