가다;gehen;;I
오다;kommen;;I
먹다;essen;;I
쉬다;sich ausruhen;;I
기다리다;warten;;I
앉다;sich setzen;;I
배우다;lernen;;I
만나다;treffen;;I
좋아하다;mögen;;I
사다;kaufen;;I
하다;machen;;I
공부하다;lernen, studieren;;I
노래하다;singen;;I
일하다;arbeiten;;I
운동하다;Sport machen;;I
말하다;sprechen, sagen;;I
전화하다;telefonieren, anrufen;;I
쇼핑하다;einkaufen;;I
컴퓨터하다;Computer benutzen;;I
읽다;lesen;;I
마시다;trinken;;I
보다;sehen;;I
요리하다;kochen;;I
조깅하다;joggen;;I
있다;haben, es gibt;;I
없다;nicht haben, es gibt nicht;;I
듣다 (들어요);hören;;I
고 싶다;wollen, möchten;;I
고 싶어하다;wollen, möchten (3.Person);;I
여행하다;reisen;;I
지 않다;nicht;;I
산책하다;spazieren;;I
빨래하다;Wäsche waschen;;I
청소하다;putzen;;I
준비하다;vorbereiten;;I
춤추다;tanzen;;I
파티하다;eine Party machen;;I
만들다;machen, herstellen, produzieren;;I
이다;sein (Infinitiv);;I
소개하다;sich vorstellen;;I
잘한다;gut machen;;I
으쓱 으쓱;mit den Schultern zucken;;I
보내다;senden, verbringen;;I
힘내다;aufheitern;;I
그림을 그리다;Bild zeichnen;;I
쓰다;schreiben;;I
생각하다;denken;;I
끄다;ausschalten;;I
알다;wissen;;I
낫다;heilen, besser;;II
주무시다;schlafen (höflich);;I
드시다;essen (höflich);;I
자다;schlafen;;I
모르다;nicht wissen;;I
살다;leben, wohnen;;I
놓다;hinlegen, hinstellen;;I
드리다;geben (höflich);;I
계산하다;bezahlen, rechnen;;I
주다;geben;;I
사용하다, 쓰다;benutzen, verwenden;;I
주문하다;bestellen;;I
이야기하다, 얘기하다;erzählen, sich unterhalten, reden;;I
돕다;helfen;;I
도와 주다;helfen;;I
깎다;schneiden, schälen;;I
자르다;schneiden;;I
가르치다;lehren, unterrichten;;I
알리다;informieren;;I
바꾸다;wechseln, ändern;;I
빌리다;ausleihen;;I
열다;aufmachen;;I
닫다;zumachen;;I
축하하다;gratulieren;;I
사진을 찍다;Foto machen;;I
다니다;regelmäßig gehen;;I
지내다;verbringen;;I
놀다;spielen;;I
수영하다;schwimmen;;I
사귀다;sich befreunden, eine Beziehung haben;;II
자전거를 타다;mit dem Fahrrad fahren;;I
걷다;zu Fuß gehen;;I
받다;bekommen;;I
기타를 치다;Gitarre spielen;;I
피아노를 치다;Klavier spielen;;I
스키를 타다;Skifahren;;I
스노보드를 타다;Snowboaden;;I
테니스를 치다;Tennis spielen;;I
운전하다;Autofahren;;I
눈이 오다;es schneit;;I
아침을 먹다;frühstücken;;I
점심을 먹다;Mittag essen;;I
저녁을 먹다;Abend essen;;I
일어나다;aufstehen;;I
구경하다;zuschauen, besichtigen;;I
켜다;einschalten;;I
아니다;nicht sein;;I
끝나다;fertig sein;;I
어떻다;wie (Infinitiv);;I
사랑하다;lieben;;I
이해하다;verstehen;;I
태어나다;geboren werden;;I
결혼하다;heiraten;;I
시험을 보다;eine Prüfung ablegen;;I
늦다;sich verspäten;;I
길이 막히다;Es gibt Stau (wörtlich: Die Straße ist verstopft);;I
유학하다;im Ausland studieren;;II
노래를 부르다;singen;;I
관심이 생기다;sein Interesse an etwas wecken (wörtlich: Interesse entsteht);;I
시작하다;beginnen;;I
장을 보다;Lebensmittel einkaufen;;I
N이라고/라고 하다;nennen;;I
물어보다;fragen;;I
돌아오다;zurückkommen;;I
외식하다;auswärts essen, essen gehen, im Restaurant essen;;II
시키다;bestellen;;I
시간이 걸리다;es dauert;;I
출발하다;losgehen, abfahren, abfliegen, starten;;I
도착하다;ankommen;;I
올라가다;hinaufgehen;;I
올라오다;hinaufkommen;;I
내려가다;hinuntergehen;;I
내려오다;hinunterkommen;;I
들어가다;hineingehen;;I
들어오다;hineinkommen;;I
나가다;hinausgehen;;I
나오다;hinauskommen;;I
돌아가다;zurückgehen;;I
바뀌다;sich verändern;;I
갈아타다;umsteigen;;I
편하다;bequem, entspannt;;I
편리하다;bequem;;I
가깝다;nahe;;I
요금을 내다;Gebühr, Tarif zahlen;;I
내리다;aussteigen;;I
서다;stehen;;I
픽업하다;abholen;;II
배달하다;liefern, zustellen;;II
발달하다;sich entwickeln;;II
씻다;waschen (z.B. Hände, Geschirr, Gemüse, aber nicht Wäsche);;I
시끄럽다;laut;;I
목욕하다;baden;;I
이를 닦다;Zähne putzen;;I
면도하다;rasieren;;I
세수하다;Gesicht waschen;;I
머리를 감다;Haare waschen;;I
머리를 말리다;Haare trocknen;;II
화장하다;schminken;;I
식사하다;essen, speisen;;I
갔다 오다;gehen und zurückkommen;;I
출근하다;zur Arbeit gehen;;I
심심하다;langweilig;;II
퇴근하다;Feierabend machen;;I
그만두다;kündigen, aufhören;;II
까먹다;vergessen;;I
찾다;suchen, finden;;I
렌트하다;mieten, ausleihen;;II
물가가 오르다;Preise steigen;;I
궁금하다;neugierig;;II
라면이 붇다;Zustand der Nudeln, wenn sie zu lange gekocht wurden;;II
짜다;salzig;;I
가지고 가다;mitnehmen;;I
넣다;hineingeben;;I
끓이다;kochen (Flüßigkeit);;I
들어있다;enthalten;;I
말아 먹다;hinzufügen (von Reis oder Nudeln in die Suppe) und essen;;I
맑다;klar, rein;;I
흐리다;unklar, unrein;;I
구름이 끼다;bewölkt;;I
바람이 불다;windig;;I
입다;anziehen (nur Kleidung - z.B. keine Schuhe oder Socken);;I
아쉽다;schade;;II
슬프다;traurig;;I
외롭다;einsam;;I
배부르다;satt;;I
술에 취하다;betrunken;;II
무섭다;Angst haben;;I
집집마다;in jedem Hause;;II
우울하다;depressiv, schwermütig;;II
건조하다;trocken;;II
습하다;feucht;;II
짜증나다;lästig, nervig, genervt, ärgerlich sein;;II
넘다;überschreiten;;I
불어오다;wehen (Wind);;II
비가 오다;es regnet;;I
감기에 걸리다;sich erkälten;;I
꽃이 피다;Blumen blühen;;I
햇빛이 나다;die Sonne scheint;;I
단풍이 들다;Blätter wechseln ihre Farbe (Herbstlaub);;I
장식하다;schmücken;;II
상관없다;egal;;II
당연하다;natürlich;;II
돈을 벌다;Geld verdienen;;I
돈을 내다;Geld bezahlen;;I
한턱내다;jemanden großzügig einladen;;II
쏘다;schießen;;II
화가 나다;sich ärgern;;I
도움이 되다;hilfreich;;I
걸어 다니다;herumlaufen;;I
단어를 외우다;Wörter auswendig lernen;;II
부지런하다;fleißig;;I
게으르다;faul;;II
중요하다;wichtig;;I
친하다;eng befreundet;;I
상관있다;in Zusammenhang stehen, in Verbindung stehen;;II
뱃살이 찌다;Bauchfett zunehmen;;II
안경을 쓰다;eine Brille tragen/aufsetzen;;I
남다;übrig bleiben;;II
부족하다;nicht genug;;I
필요하다;brauchen;;I
신다;Schuhe/Socken anziehen (nicht andere Kleidung);;I
파랗다;blau;;I
노랗다;gelb;;I
뜨겁다;heiß (nicht Wetter);;I
짧다;kurz;;I
싱겁다;nicht salzig, fade;;I
달다;süß (Geschmack);;I
가볍다;leicht (Gewicht);;I
무겁다;schwer (Gewicht);;I
불편하다;unbequem;;I
낮다;niedrig;;I
비슷하다;ähnlich;;I
질문하다;Frage stellen;;I
담배를 피우다;Zigarette rauchen;;I
휴가를 내다;Urlaub nehmen;;I
돌아가시다;zurückgehen, sterben;;II
죽다;sterben;;I
퇴직하다;in Rente gehen;;II
뵈다;sehen;;II
편찮으시다;krank;;II
생각이 나다;sich erinnern, etwas fällt einem ein, etwas kommt in den Sinn;;I
전하다;mitteilen, ausrichten;;I
부탁하다;bitten;;I
묻다;fragen;;I
잊어버리다;vergessen;;I
빌려주다;jmd. etwas leihen;;II
부치다;schicken (Paket, Brief, Postkarte);;I
차이가 나다;abweichen, sich unterscheiden;;I
한테 잘 하다;sei nett zu jmd.;;I
가져가다;mitnehmen;;I
돌려주다;zurückgeben;;II
다녀오다;gehen und kommen;;I
약속을 지키다;ein Versprechen halten;;I
걱정하다;sich sorgen;;I
조심하다;vorsichtig;;I
벗다;ausziehen (Kleidung, Schuhe);;I
어울리다;passen, zusammenpassen;;I
다치다;sich verletzen;;I
잃어버리다;verlieren;;I
웃다;lachen;;I
꿈을 꾸다;träumen;;I
잊다;vergessen;;I
사고가 나다;einen Unfall haben;;I
생활하다;leben, den Alltag verbringen;;II
한바퀴 돌다;eine Runde drehen, einen Kreis machen;;II
울다;weinen;;I
집중이 되다;sich konzentrieren, Konzentriert werden;;I
비를 맞다;Regen abbekommen, im Regen stehen;;I
새롭다;neu;;II
기대되다;etwas erwarten, sich auf etwas freuen;;II
잘되다;gut laufen, gut funktionieren;;II
출퇴근하다;pendeln;;II
예약하다;reservieren;;I
빨갛다;rot;;I
정확하다;genau, präzise, exakt;;II
귀찮다;lästig, nervig sein, wenn man keine Lust hat, etwas zu tun;;II
입맛이 없다;keinen Appetit haben;;I
마르다;dünn, mager;;I
생기다;entstehen, erschaffen;;I
연기하다;schauspielern;;II
활발하다;lebhaft, aktiv, energetisch;;II
어리다/젊다;jung;;I
잘 생기다;gutaussehend;;I
둘러보다;sich umschauen;;II
환불하다;rückerstatten;;II
선택하다;wählen;;I
마음에 들다;gefallen;;I
늙다;altern;;II
나이가 들다;alt werden;;I
신기하다;erstaunlich, wunderbar, faszinierend;;II
간단하다;einfach, schlicht;;I
더럽다;schmutzig;;I
누르다;drücken;;I
실력이 늘다;Fähigkeiten verbessern, sich seine Fähigkeiten verbessern;;I
신나다;aufgeregt, begeistert;;II
쉽다;einfach, leicht;;I
사이다;Sprite;;I
예매하다;Ticket reservieren;;II
가져오다;bringen;;I
넥타이를 매다;eine Krawatte binden;;I
가방을 메다;eine Tasche tragen, einen Rucksack auf dem Rücken haben;;I
실감이 나다;etwas spüren, etwas realisieren;;I
갈아입다;Kleidung umziehen;;II
까맣다;schwarz;;I
다양하다;vielfältig;;II
경험하다;erfahren, erleben;;II
모으다;sammeln;;I
눕다;sich hinlegen;;I
답장하다;antworten (schriftlich);;II
답하다;antworten;;I
갖다주다;bringen;;II
